"Site","Season","brown","green"
"SRS Marsh","Dry","0.29 ± 0.16 (0.06-0.65)","0.71 ± 0.16 (0.35-0.94)"
"SRS Marsh","Wet","0.21 ± 0.13 (0.02-0.54)","0.79 ± 0.13 (0.46-0.98)"
"Upper River","Dry","0.43 ± 0.13 (0.16-0.66)","0.57 ± 0.13 (0.34-0.84)"
"Upper River","Wet","0.43 ± 0.14 (0.14-0.67)","0.57 ± 0.14 (0.33-0.86)"
"Mid River","Dry","0.55 ± 0.11 (0.34-0.77)","0.45 ± 0.11 (0.23-0.66)"
"Mid River","Wet","0.55 ± 0.09 (0.40-0.76)","0.45 ± 0.09 (0.24-0.60)"
"Lower River","Dry","0.27 ± 0.09 (0.12-0.48)","0.73 ± 0.09 (0.52-0.88)"
"Lower River","Wet","0.70 ± 0.13 (0.43-0.92)","0.30 ± 0.13 (0.08-0.57)"
"TS Marsh","Dry","0.55 ± 0.22 (0.14-0.91)","0.45 ± 0.22 (0.09-0.86)"
"TS Marsh","Wet","0.56 ± 0.34 (0.03-0.98)","0.44 ± 0.34 (0.02-0.97)"
"Mangrove Ecotone","Dry","0.40 ± 0.14 (0.13-0.69)","0.60 ± 0.14 (0.31-0.87)"
"Mangrove Ecotone","Wet","0.42 ± 0.16 (0.09-0.70)","0.58 ± 0.16 (0.30-0.91)"
"Inner Bay","Dry","0.41 ± 0.19 (0.06-0.80)","0.59 ± 0.19 (0.20-0.94)"
"Inner Bay","Wet","0.35 ± 0.24 (0.03-0.87)","0.65 ± 0.24 (0.13-0.97)"
"Mid Bay","Dry","0.31 ± 0.13 (0.10-0.61)","0.69 ± 0.13 (0.39-0.90)"
"Mid Bay","Wet","0.53 ± 0.15 (0.26-0.82)","0.47 ± 0.15 (0.18-0.74)"
"Outer Bay","Dry","0.10 ± 0.07 (0.01-0.27)","0.90 ± 0.07 (0.73-0.99)"
"Outer Bay","Wet","0.08 ± 0.07 (0.00-0.24)","0.92 ± 0.07 (0.76-1.00)"
