site,hydroseason,group,common_name,functional_grp,n,min_TL_cm,max_TL_cm,md13C,d13Csd,md15N,d15Nsd,md34S,d34Ssd
RB10,Dry,Consumer,Bluegill,demersal_fish,6,4.4,11.3,-31.47833333,0.501773521,11.30666667,1.70444908,24.59,1.5768069
RB10,Dry,Consumer,Coastal Shiner,Forage_fish,15,2.7,3.1,-32.17666667,0.544054444,12.31733333,0.819481253,23.51733333,3.266906502
RB10,Dry,Consumer,Dollar Sunfish,demersal_fish,1,3.1,3.5,-30.33,NA,10.94,NA,25.79,NA
RB10,Dry,Consumer,Eastern Grass Shrimp,Shrimp,1,1.1,1.8,-31.61,NA,12.08,NA,25.06,NA
RB10,Dry,Consumer,Flatback Mud Crab,Crab,2,0.8,1.6,-25.675,0.643467171,7.66,2.870853532,11.86,8.683271273
RB10,Dry,Consumer,Golden Topminnow,Forage_fish,1,3.7,3.7,-27.93,NA,9.85,NA,24.67,NA
RB10,Dry,Consumer,Hogchoker,demersal_fish,3,4.5,5.1,-31.56666667,0.32393415,10.18666667,0.309246396,18.44333333,3.789951627
RB10,Dry,Consumer,Peacock Eel,demersal_fish,7,20.9,23.7,-28.35119387,1.209245418,9.227171501,1.237680088,20.50969077,1.397297232
RB10,Dry,Consumer,Redear Sunfish,demersal_fish,1,13,15.4,-30.5,NA,12.82,NA,25.16,NA
RB10,Dry,Consumer,Tidewater Silverside,Forage_fish,2,5.4,7,-31.185,0.827314934,11.23,0.311126984,22.305,0.205060967
RB10,Wet,Consumer,Bluefin Killifish,Forage_fish,2,2.5,3.1,-30.34,1.824335495,9.12,0.028284271,11.955,11.67433296
RB10,Wet,Consumer,Bluegill,demersal_fish,3,8.1,21,-31.46,2.694383046,10.32,0.720277724,17.29666667,2.049886176
RB10,Wet,Consumer,Bowfin,Predator,3,50,65,-30.57666667,1.228589978,11.12,0.192873015,24.62,0.386264158
RB10,Wet,Consumer,Clown Goby,demersal_fish,1,5.4,5.5,-33.59,NA,12.39,NA,21.83,NA
